所属省份,区划名称,面积/平方公里,常住人口/万人（2010）,人口密度/人/平方公里,GDP/亿元,GDP年份,人均GDP/万元,省级序列,城市分级,流动人口/万人（2018）,流动人口/万人（2017）,铁路干线1-特等站,铁路干线2-五纵三横,民航年流量/万人（2018）前五十,民航年流量/万人（2018）前一百,经度,纬度,Suo Shu Sheng Fen ,Qu Hua Ming Cheng
广西,崇左,"17,345.47",215,124.17,549,2012,2.55,,,,,,,,,107.35506,22.420197,Guang Xi ,Chong Zuo 
广东,云浮,"7,779.12",236,303.39,540,2012,2.29,,,,,,,,,112.03999,22.933193,Guang Dong ,Yun Fu 
宁夏,石嘴山,5310,80,151.22,535,2017,6.66,2,,,,,,,,106.3820572,39.02428055,Ning Xia ,Shi Zui Shan 
宁夏,吴忠,21400,144,67.19,535,2018,3.72,,,,,,,,,106.1991119,37.98549652,Ning Xia ,Wu Zhong 
甘肃,庆阳,"27,219.71",251,92.31,534,2012,2.13,,,,,,,,,107.63,35.73,Gan Su ,Qing Yang 
贵州,黔南,"26,191.79",372,142.13,530,2012,1.42,,,,,,,,,107.517156,26.258219,Gui Zhou ,Qian Nan
青海,海西,300700,52,1.71,526,2017,10.21,,,,,,,,,97.370785,37.374663,Qing Hai ,Hai Xi 
甘肃,武威,"32,516.91",190,58.48,520,2012,2.73,,,,,,,,,102.633461,37.9269104,Gan Su ,Wu Wei 
新疆,喀什,"137,578.51",369,26.85,517,2012,1.4,,,,,,1,,206,75.989138,39.467664,Xin Jiang ,Ka Shi
陕西,安康,"23,529.24",263,111.77,514,2012,1.95,,,,,,,,,109.0257874,32.68986511,Shan Xi ,An Kang 
广西,河池,"33,508.00",378,112.92,494,2012,1.31,,,,,,,,,108.0516281,24.69689178,Guang Xi ,He Chi 
湖北,恩施,"24,061.25",348,144.51,482,2012,1.39,,,,,,,,103.9,109.48699,30.283114,Hu Bei ,En Shi 
江西,鹰潭,"3,556.74",110,310.03,482,2012,4.37,,,,,特,,,,117.0302811,28.2455864,Jiang Xi ,Ying Tan 
云南,文山,"31,409.12",341,108.52,478,2012,1.4,,,,,,,,,104.244277,23.369216,Yun Nan,Wen Shan 
贵州,黔东南,"30,278.06",399,131.83,475,2012,1.19,,,,,,,,,107.977488,26.583352,Gui Zhou ,Qian Dong Nan
四川,广元,"16,313.78",248,152.02,469,2012,1.89,,,,,,,,,105.8317032,32.44396973,Si Chuan ,Guang Yuan 
广西,防城港,"6,181.19",83,134.13,461,2012,5.56,,,,,,,,,108.35658,21.768936,Guang Xi ,Fang Cheng Gang 
贵州,黔西南,"16,785.93",301,179.47,459,2012,1.52,,,,,,,,112.1,104.897971,25.08812,Gui Zhou ,Qian Xi Nan
新疆,阿克苏,"127,144.91",220,17.33,456,2012,2.07,,,,,,,,129.2,80.265068,41.170712,Xin Jiang ,A Ke Su 
内蒙,阿拉善,"267,574.00",22,0.81,455,2012,20.94,,,,,,,,,105.706422,38.844814,Nei Meng ,A La Shan 
贵州,铜仁,"18,006.41",368,204.35,447,2012,1.21,,,,,,,,127.7,109.1926804,27.72216606,Gui Zhou ,Tong Ren 
湖北,仙桃,"2,519.83",136,541.31,444,2012,3.26,,,,,,,,,113.453974,30.364953,Hu Bei ,Xian Tao 
湖北,潜江,"1,929.51",94,486.65,442,2012,4.7,,,,,,,,,112.896866,30.421215,Hu Bei ,Qian Jiang 
陕西,商洛,"19,586.37",234,119.56,440,2012,1.88,,,,,,,,,109.9302368,33.87192535,Shan Xi ,Shang Luo 
河南,济源,"1,893.76",68,356.59,440,2012,6.52,,,,,,,,,112.590047,35.090378,He Nan,Ji Yuan 
青海,海东,13200,147,111.42,436,2017,2.96,2,,,,,,,,102.10327,36.502916,Qing Hai ,Hai Dong 
甘肃,白银,"20,164.09",175,86.79,435,2012,2.49,,,,,,,,,104.1837769,36.53941727,Gan Su ,Bai Yin 
安徽,黄山,"9,678.83",140,144.65,425,2012,3.04,,,,,,,,,118.3090668,29.72084427,An Hui ,Huang Shan 
西藏,拉萨,31662,57.61,18.2,424.95,2016,7.38,1,,,,,1,435.4,435.4,91.132212,29.660361,Xi Zang,La Sa 
安徽,池州,"8,391.73",143,170.41,417,2012,2.92,,,,,,,,,117.48,30.67,An Hui ,Chi Zhou 
甘肃,天水,"14,312.13",341,238.48,416,2012,1.22,,,,,,,,,105.7152405,34.58426666,Gan Su ,Tian Shui 
新疆,塔城,"94,698.18",99,10.5,413,2012,4.15,,,,,,,,,82.985732,46.746301,Xin Jiang ,Ta Cheng 
广西,贺州,"11,771.54",208,176.77,405,2012,1.95,,,,,,,,,111.53455,24.417259,Guang Xi ,He Zhou 
四川,雅安,15314,151,98.76,398,2012,2.63,,,,,,,,,102.9826965,29.98229408,Si Chuan ,Ya An 
湖南,湘西,"15,462.30",249,160.97,398,2012,1.6,,,,,,,,,110.671525,31.744449,Hu Nan,Xiang Xi 
四川,巴中,"12,301.26",313,254.73,390,2012,1.25,,,,,,,,,106.75476,31.849014,Si Chuan ,Ba Zhong 
云南,保山,"19,064.64",245,128.52,389,2012,1.59,,,,,,,,218.6,99.16872406,25.11680222,Yun Nan,Bao Shan 
内蒙,兴安盟,"59,806.00",160,26.81,385,2012,2.4,,,,,,,,,122.070317,46.076268,Nei Meng ,Xing An Meng 
云南,普洱,"44,264.79",258,58.2,366,2012,1.42,,,,,,,,,100.972344,22.777321,Yun Nan,Pu Er 
黑龙江,黑河,"66,802.70",167,25.06,366,2012,2.19,,,,,,,,,127.4869385,50.24448776,Hei Long Jiang ,Hei He 
黑龙江,鹤岗,"14,679.98",106,72.12,358,2012,3.38,,,,,,,,,130.2761993,47.33728409,Hei Long Jiang ,He Gang 
云南,临沧,"23,620.72",237,100.25,352,2012,1.49,,,,,,,,,100.0878067,23.8799305,Yun Nan,Lin Cang 
贵州,安顺,"9,253.06",254,274.88,350,2012,1.38,,,,,,,,,105.9260712,26.24425888,Gui Zhou ,An Shun 
宁夏,中卫,17000,121,71.42,339,2016,2.79,,,,,,,,,105.18661,37.513252,Ning Xia ,Zhong Wei 
湖南,张家界,"9,516.03",149,156.16,339,2012,2.28,,,,,,,,221,110.47,29.13,Hu Nan,Zhang Jia Jie 
甘肃,平凉,"11,196.71",219,195.62,325,2012,1.48,,,,,,,,,106.6830673,35.53551865,Gan Su ,Ping Liang 
湖北,天门,"2,528.35",138,544.23,321,2012,2.33,,,,,,,,,113.165862,30.653061,Hu Bei ,Tian Men 
宁夏,固原,10540,151,143.05,303,2018,2.01,,,,,,,,,106.2785873,36.01325989,Ning Xia ,Gu Yuan 
黑龙江,七台河,"6,221.42",92,147.94,299,2012,3.25,,,,,,,,,130.8753967,45.80927277,Hei Long Jiang ,Qi Tai He 
甘肃,张掖,"39,436.54",128,32.34,288,2012,2.26,,,,,,,,,100.4502869,38.93505859,Gan Su ,Zhang Ye 
